date,place,sun_dur,prec,weather_label,weather_no
230624,ebina,0.386,0.0,cfrn,6
230624,gotenba,0.057,0.0,cyrn,3
230625,odawara,0.314,0.0,cfrn,6
230625,ebina,0.429,0.0,cfrn,6
230625,gotenba,0.271,0.0,cfrn,6
230626,odawara,0.4,0.0,cfrn,6
230626,ebina,0.2,0.0,cfrn,6
230626,gotenba,0.314,0.0,cfrn,6
230627,odawara,0.1,0.0,cyrn,3
230627,ebina,0.0,0.5,cyrf,2
230627,gotenba,0.129,0.0,cfrn,6
230628,odawara,0.5,0.0,cfrn,6
230628,ebina,0.429,0.0,cfrn,6
230628,gotenba,0.371,0.0,cfrn,6
230629,odawara,0.529,0.0,cfrn,6
230629,ebina,0.543,0.0,cfrn,6
230629,gotenba,0.371,0.0,cfrn,6
230630,odawara,0.0,0.0,cyrn,3
230630,ebina,0.0,0.0,cyrn,3
230630,gotenba,0.0,0.0,cyrn,3
230701,odawara,0.0,26.0,cyry,1
230701,ebina,0.0,13.5,cyry,1
230701,gotenba,0.0,41.5,cyry,1
230702,odawara,0.857,1.0,cfrf,5
230702,ebina,0.814,2.5,cfrf,5
230702,gotenba,0.857,3.0,cfrf,5
230703,odawara,0.757,0.0,cfrn,6
230703,ebina,0.786,0.0,cfrn,6
230703,gotenba,0.6,0.0,cfrn,6
230704,odawara,0.557,0.0,cfrn,6
230704,ebina,0.543,0.0,cfrn,6
230704,gotenba,0.643,0.0,cfrn,6
230705,odawara,0.243,0.0,cfrn,6
230705,ebina,0.157,0.0,cfrn,6
230705,gotenba,0.0,0.0,cyrn,3
230706,odawara,0.543,13.5,cfry,4
230706,ebina,0.571,7.5,cfrf,5
230706,gotenba,0.671,9.5,cfrf,5
230707,odawara,0.743,0.0,cfrn,6
230707,ebina,0.8,0.0,cfrn,6
230707,gotenba,0.786,0.0,cfrn,6
230708,odawara,0.0,1.0,cyrf,2
230708,ebina,0.0,0.0,cyrn,3
230708,gotenba,0.0,7.0,cyrf,2
230709,odawara,0.0,0.0,cyrn,3
230709,ebina,0.329,0.0,cfrn,6
230709,gotenba,0.0,2.5,cyrf,2
230710,odawara,0.986,0.0,cnrn,9
230710,ebina,1.0,0.0,cnrn,9
230710,gotenba,0.2,0.5,cfrf,5
230711,odawara,1.0,0.0,cnrn,9
230711,ebina,0.986,0.0,cnrn,9
230711,gotenba,0.943,0.0,cnrn,9
230712,odawara,0.957,0.0,cnrn,9
230712,ebina,1.0,0.0,cnrn,9
230712,gotenba,0.7,0.0,cfrn,6
230713,odawara,0.0,0.0,cyrn,3
230713,ebina,0.0,0.0,cyrn,3
230713,gotenba,0.0,2.5,cyrf,2
230714,odawara,0.143,0.0,cfrn,6
230714,ebina,0.043,0.0,cyrn,3
230714,gotenba,0.0,0.5,cyrf,2
230715,odawara,0.0,0.0,cyrn,3
230715,ebina,0.0,0.0,cyrn,3
230715,gotenba,0.0,0.0,cyrn,3
230716,odawara,0.929,0.0,cnrn,9
230716,ebina,0.871,0.0,cfrn,6
230716,gotenba,0.414,0.0,cfrn,6
230717,odawara,0.986,0.0,cnrn,9
230717,ebina,0.986,0.0,cnrn,9
230717,gotenba,0.671,0.0,cfrn,6
230718,odawara,0.971,0.0,cnrn,9
230718,ebina,0.971,0.0,cnrn,9
230718,gotenba,0.986,0.0,cnrn,9
230719,odawara,0.786,0.0,cfrn,6
230719,ebina,0.857,0.0,cfrn,6
230719,gotenba,0.786,0.0,cfrn,6
230720,odawara,0.229,0.0,cfrn,6
230720,ebina,0.086,0.0,cyrn,3
230720,gotenba,0.2,0.0,cfrn,6
230721,odawara,0.314,0.0,cfrn,6
230721,ebina,0.271,0.0,cfrn,6
230721,gotenba,0.371,0.0,cfrn,6
230722,odawara,0.729,0.0,cfrn,6
230722,ebina,0.357,0.0,cfrn,6
230722,gotenba,0.8,0.0,cfrn,6
230723,odawara,0.771,0.0,cfrn,6
230723,ebina,0.971,0.0,cnrn,9
230723,gotenba,0.7,0.0,cfrn,6
230724,odawara,0.971,0.0,cnrn,9
230724,ebina,0.971,0.0,cnrn,9
230724,gotenba,0.971,0.0,cnrn,9
230725,odawara,0.971,0.0,cnrn,9
230725,ebina,0.986,0.0,cnrn,9
230725,gotenba,0.871,0.0,cfrn,6
230726,odawara,0.9,0.0,cfrn,6
230726,ebina,0.971,0.0,cnrn,9
230726,gotenba,0.757,0.0,cfrn,6
230727,odawara,0.729,0.0,cfrn,6
230727,ebina,0.686,0.0,cfrn,6
230727,gotenba,0.757,0.0,cfrn,6
230728,odawara,0.943,0.0,cnrn,9
230728,ebina,0.957,0.0,cnrn,9
230728,gotenba,0.814,0.0,cfrn,6
230729,odawara,0.971,0.0,cnrn,9
230729,ebina,0.971,0.0,cnrn,9
230729,gotenba,0.7,0.0,cfrn,6
230730,odawara,0.971,0.0,cnrn,9
230730,ebina,0.957,0.0,cnrn,9
230730,gotenba,0.8,0.0,cfrn,6
230731,odawara,0.914,0.0,cnrn,9
230731,ebina,0.886,0.0,cfrn,6
230731,gotenba,0.814,0.0,cfrn,6
230801,odawara,0.186,0.0,cfrn,6
230801,ebina,0.143,5.0,cfrf,5
230801,gotenba,0.114,5.5,cfrf,5
230802,odawara,0.771,0.5,cfrf,5
230802,ebina,0.686,0.0,cfrn,6
230802,gotenba,0.857,0.0,cfrn,6
230803,odawara,0.943,0.0,cnrn,9
230803,ebina,0.943,0.0,cnrn,9
230803,gotenba,0.829,0.0,cfrn,6
230804,odawara,0.943,0.0,cnrn,9
230804,ebina,0.957,0.0,cnrn,9
230804,gotenba,0.957,0.0,cnrn,9
230805,odawara,0.914,0.0,cnrn,9
230805,ebina,0.957,0.0,cnrn,9
230805,gotenba,0.814,0.0,cfrn,6
230806,odawara,0.471,8.0,cfrf,5
230806,ebina,0.586,0.0,cfrn,6
230806,gotenba,0.557,5.5,cfrf,5
230807,odawara,0.586,1.0,cfrf,5
230807,ebina,0.614,0.0,cfrn,6
230807,gotenba,0.214,6.0,cfrf,5
230808,odawara,0.886,0.0,cfrn,6
230808,ebina,0.3,0.0,cfrn,6
230808,gotenba,0.757,0.0,cfrn,6
230809,odawara,0.029,49.5,cyry,1
230809,ebina,0.171,7.5,cfrf,5
230809,gotenba,0.0,47.5,cyry,1
230810,odawara,0.8,0.5,cfrf,5
230810,ebina,0.643,4.5,cfrf,5
230810,gotenba,0.429,4.0,cfrf,5
230811,odawara,0.757,0.0,cfrn,6
230811,ebina,0.514,2.5,cfrf,5
230811,gotenba,0.9,0.0,cfrn,6
230812,odawara,0.917,0.0,cnrn,9
230812,ebina,0.6,0.0,cfrn,6
230812,gotenba,0.767,0.0,cfrn,6
230813,odawara,0.167,1.0,cfrf,5
230813,ebina,0.217,13.0,cfry,4
230813,gotenba,0.183,0.0,cfrn,6
230814,odawara,0.183,8.5,cfrf,5
230814,ebina,0.15,22.0,cfry,4
230814,gotenba,0.0,20.0,cyry,1
230815,odawara,0.183,1.0,cfrf,5
